               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  56,            0.038651,           0.0057337,           0.0017754,             0.42612,             0.49771,             0.42628,             0.25035,            0.033341,           0.0061716,           0.0014051,          5.0328e-05,          5.0328e-05,          5.0328e-05
                  57,            0.038342,           0.0057235,           0.0020566,             0.44735,             0.50282,             0.43918,             0.25473,            0.033161,           0.0061547,           0.0014647,          4.9425e-05,          4.9425e-05,          4.9425e-05
                  58,            0.038016,           0.0058282,           0.0020891,             0.43147,             0.51878,             0.43013,              0.2521,            0.033174,           0.0061454,           0.0014935,          4.8522e-05,          4.8522e-05,          4.8522e-05
                  59,            0.038089,           0.0057616,           0.0020752,             0.43409,             0.52203,             0.43516,               0.254,            0.033331,           0.0061527,           0.0014721,          4.7619e-05,          4.7619e-05,          4.7619e-05
                  60,            0.038133,           0.0058989,           0.0020287,             0.42451,             0.50449,             0.42988,             0.25449,            0.033233,           0.0061462,           0.0014464,          4.6716e-05,          4.6716e-05,          4.6716e-05
                  61,            0.037513,           0.0056647,           0.0019149,             0.41951,             0.49771,             0.42086,             0.24998,            0.033163,           0.0061447,           0.0014594,          4.5813e-05,          4.5813e-05,          4.5813e-05
                  62,            0.037496,           0.0056833,           0.0020174,             0.43929,             0.49929,              0.4338,             0.25481,            0.032991,           0.0061275,           0.0014219,           4.491e-05,           4.491e-05,           4.491e-05
                  63,            0.037503,           0.0058121,           0.0019334,             0.43917,             0.50162,             0.42781,             0.25438,             0.03301,           0.0060927,            0.001435,          4.4007e-05,          4.4007e-05,          4.4007e-05
                  64,            0.038422,           0.0055613,           0.0020113,             0.42745,             0.52419,             0.42952,             0.25875,            0.032987,           0.0060972,           0.0014687,          4.3103e-05,          4.3103e-05,          4.3103e-05
                  65,            0.038079,             0.00554,           0.0019791,             0.40357,             0.51899,             0.42339,             0.25446,            0.032931,           0.0060995,           0.0014764,            4.22e-05,            4.22e-05,            4.22e-05
                  66,            0.038018,            0.005787,            0.001731,             0.41925,             0.50476,             0.42668,             0.25483,            0.033031,           0.0060923,           0.0014592,          4.1297e-05,          4.1297e-05,          4.1297e-05
                  67,            0.037896,           0.0056629,           0.0019167,             0.43306,             0.52896,             0.42335,             0.25371,             0.03294,           0.0060912,           0.0014713,          4.0394e-05,          4.0394e-05,          4.0394e-05
                  68,            0.037643,           0.0057348,           0.0018051,             0.42132,             0.52099,             0.43084,             0.25587,            0.033003,           0.0060792,           0.0014451,          3.9491e-05,          3.9491e-05,          3.9491e-05
                  69,            0.037075,           0.0056271,            0.001808,             0.43685,             0.50744,             0.43366,             0.26024,            0.032869,           0.0060659,           0.0014512,          3.8588e-05,          3.8588e-05,          3.8588e-05
                  70,            0.037935,           0.0055891,           0.0018473,              0.4261,             0.53175,             0.43434,             0.25903,            0.032784,           0.0060783,           0.0014397,          3.7685e-05,          3.7685e-05,          3.7685e-05
                  71,            0.037098,             0.00561,           0.0017836,             0.43237,             0.53383,             0.44126,             0.26203,            0.032831,           0.0060675,           0.0014426,          3.6782e-05,          3.6782e-05,          3.6782e-05
                  72,            0.036946,           0.0056535,           0.0018101,             0.44827,             0.53582,             0.43892,             0.25999,            0.032874,           0.0060594,            0.001472,          3.5878e-05,          3.5878e-05,          3.5878e-05
                  73,             0.03735,             0.00573,            0.001872,             0.44216,             0.51507,             0.44075,             0.25899,            0.032968,           0.0060462,           0.0014738,          3.4975e-05,          3.4975e-05,          3.4975e-05
                  74,            0.037849,           0.0056911,           0.0019346,             0.43363,             0.50407,              0.4383,             0.26168,            0.032854,           0.0060408,             0.00145,          3.4072e-05,          3.4072e-05,          3.4072e-05
